sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
392,1785929200196,18958,0,5294735,0,6981781,0
393,1785929200206,18835,0,5294381,0,6981472,0
394,1785929200216,18366,0,5294153,0,6981307,0
395,1785929200227,17874,0,5293931,0,6980939,0
396,1785929200236,17407,0,5293733,0,6980954,0
397,1785929200249,16919,0,5293419,0,6980739,0
398,1785929200257,16628,0,5293392,0,6980594,0
399,1785929200266,16320,0,5293114,0,6980281,0
400,1785929200276,15869,0,5293009,0,6980147,0
401,1785929200286,15798,0,5292723,0,6980133,0
402,1785929200296,15431,0,5292538,0,6979811,0
403,1785929200306,15194,0,5292180,0,6979567,0
404,1785929200316,14975,0,5292012,0,6979466,0
405,1785929200326,14558,0,5291952,0,6979307,0
406,1785929200336,14704,0,5291779,0,6979338,0
407,1785929200346,14652,0,5291676,0,6979393,0
408,1785929200356,14829,0,5291518,0,6979164,0
409,1785929200366,14906,0,5291479,0,6978999,0
410,1785929200376,15273,0,5291358,0,6979149,0
411,1785929200387,15525,0,5291183,0,6978966,0
412,1785929200396,15700,0,5290996,0,6978972,0
413,1785929200409,16345,0,5290977,0,6978901,0
414,1785929200416,16729,0,5290986,0,6978875,0
415,1785929200427,17260,0,5290802,0,6979006,0
416,1785929200436,17351,0,5290679,0,6978899,0
417,1785929200446,17519,0,5290466,0,6978738,0
418,1785929200456,18019,0,5290293,0,6978566,0
419,1785929200466,17889,0,5289977,0,6978326,0
420,1785929200476,17460,0,5289723,0,6977819,0
421,1785929200486,16975,0,5289445,0,6977540,0
422,1785929200496,15661,0,5289135,0,6976991,0
423,1785929200506,14293,0,5288804,0,6976481,0
424,1785929200516,12190,0,5288507,0,6975846,0
425,1785929200527,10173,0,5288107,0,6975273,0
426,1785929200536,7791,0,5287826,0,6974611,0
427,1785929200547,5490,0,5287612,0,6974281,0
428,1785929200556,3042,0,5287170,0,6973798,0
429,1785929200568,509,0,5287021,0,6973381,0
430,1785929200576,-1888,0,5286730,0,6973067,0
431,1785929200587,-4068,0,5286494,0,6972612,0
432,1785929200596,-6133,0,5286295,0,6972333,0
433,1785929200607,-8075,0,5285978,0,6972004,0
434,1785929200616,-9825,0,5285750,0,6971558,0
435,1785929200627,-11472,0,5285438,0,6971218,0
436,1785929200636,-12938,0,5285213,0,6971180,0
437,1785929200647,-14386,0,5284938,0,6970918,0
438,1785929200656,-15853,0,5284800,0,6970713,0
439,1785929200667,-16735,0,5284702,0,6970555,0
440,1785929200677,-17584,0,5284441,0,6970500,0
441,1785929200687,-18377,0,5284264,0,6970349,0
442,1785929200696,-19091,0,5284022,0,6969998,0
443,1785929200708,-19477,0,5283822,0,6969970,0
444,1785929200716,-19941,0,5283774,0,6969934,0
445,1785929200730,-19910,0,5283660,0,6969715,0
446,1785929200737,-20267,0,5283394,0,6969648,0
447,1785929200747,-20311,0,5283257,0,6969516,0
448,1785929200757,-20801,0,5283118,0,6969308,0
449,1785929200767,-21075,0,5282836,0,6969158,0
450,1785929200777,-21180,0,5282849,0,6969149,0
451,1785929200787,-21346,0,5282607,0,6968777,0
452,1785929200797,-21670,0,5282463,0,6968781,0
453,1785929200807,-21991,0,5282409,0,6968545,0
454,1785929200817,-22481,0,5282196,0,6968355,0
455,1785929200827,-22707,0,5282054,0,6968204,0
456,1785929200837,-23331,0,5281690,0,6968058,0
457,1785929200847,-23700,0,5281474,0,6967894,0
458,1785929200857,-24620,0,5281101,0,6967470,0
459,1785929200868,-24984,0,5280942,0,6967168,0
460,1785929200877,-25618,0,5280756,0,6967076,0
461,1785929200889,-25996,0,5280467,0,6966965,0
462,1785929200897,-26523,0,5280304,0,6966595,0
463,1785929200907,-26884,0,5280183,0,6966622,0
464,1785929200917,-27106,0,5279934,0,6966484,0
465,1785929200929,-27541,0,5279752,0,6966252,0
466,1785929200937,-27622,0,5279688,0,6966111,0
467,1785929200947,-27786,0,5279471,0,6965975,0
468,1785929200957,-27963,0,5279367,0,6965835,0
469,1785929200967,-27933,0,5279262,0,6965860,0
470,1785929200977,-27902,0,5279324,0,6965813,0
471,1785929200987,-28098,0,5278944,0,6965712,0
472,1785929200997,-28138,0,5278721,0,6965641,0
473,1785929201007,-27986,0,5278694,0,6965591,0
474,1785929201017,-28194,0,5278307,0,6965316,0
475,1785929201029,-28060,0,5278259,0,6965113,0
476,1785929201037,-28052,0,5278168,0,6965030,0
477,1785929201052,-27615,0,5278028,0,6965196,0
478,1785929201057,-27536,0,5277987,0,6965088,0
479,1785929201068,-27054,0,5277887,0,6965189,0
480,1785929201078,-26741,0,5277654,0,6964969,0
481,1785929201088,-26454,0,5277477,0,6964740,0
482,1785929201097,-26224,0,5277316,0,6964815,0
483,1785929201108,-26091,0,5277123,0,6964532,0
484,1785929201117,-26298,0,5276844,0,6964194,0
485,1785929201128,-26762,0,5276611,0,6963830,0
486,1785929201137,-27713,0,5276399,0,6963449,0
487,1785929201148,-29005,0,5276221,0,6962997,0
488,1785929201157,-30630,0,5275914,0,6962545,0
489,1785929201168,-32566,0,5275837,0,6961946,0
490,1785929201178,-34619,0,5275568,0,6961460,0
491,1785929201192,-36909,0,5275381,0,6961153,0
492,1785929201197,-39126,0,5275262,0,6960787,0
493,1785929201209,-41447,0,5275023,0,6960399,0
494,1785929201218,-43513,0,5274897,0,6960184,0
495,1785929201228,-45434,0,5274741,0,6959739,0
