sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
166,1785929340434,-57734,0,5904346,0,7475763,0
167,1785929340441,-58127,0,5903986,0,7475623,0
168,1785929340452,-58525,0,5903746,0,7475149,0
169,1785929340461,-58742,0,5903389,0,7474804,0
170,1785929340472,-58819,0,5903070,0,7474419,0
171,1785929340481,-58827,0,5902651,0,7473758,0
172,1785929340492,-58597,0,5902375,0,7473166,0
173,1785929340502,-58410,0,5902039,0,7472514,0
174,1785929340512,-58212,0,5901798,0,7472270,0
175,1785929340522,-58222,0,5901355,0,7471814,0
176,1785929340532,-58044,0,5901075,0,7471646,0
177,1785929340542,-58171,0,5900933,0,7471604,0
178,1785929340553,-58591,0,5900570,0,7471342,0
179,1785929340562,-59107,0,5900166,0,7470965,0
180,1785929340573,-59719,0,5899700,0,7470720,0
181,1785929340582,-60334,0,5899263,0,7470055,0
182,1785929340595,-61123,0,5898843,0,7469344,0
183,1785929340602,-61699,0,5898492,0,7468923,0
184,1785929340612,-62225,0,5898027,0,7468627,0
185,1785929340622,-62603,0,5897792,0,7468147,0
186,1785929340632,-62998,0,5897733,0,7468097,0
187,1785929340642,-63293,0,5897417,0,7468029,0
188,1785929340665,-63511,0,5897085,0,7467476,0
189,1785929340665,-63647,0,5896893,0,7466887,0
190,1785929340679,-63488,0,5896814,0,7466848,0
191,1785929340682,-63242,0,5896559,0,7466398,0
192,1785929340692,-62881,0,5896417,0,7466340,0
193,1785929340702,-62385,0,5896290,0,7466272,0
194,1785929340712,-61830,0,5896223,0,7466057,0
195,1785929340725,-61423,0,5896145,0,7466676,0
196,1785929340742,-61022,0,5895977,0,7466504,0
197,1785929340742,-60621,0,5895840,0,7466144,0
198,1785929340755,-60067,0,5895890,0,7465841,0
199,1785929340762,-59126,0,5895783,0,7465931,0
200,1785929340772,-58211,0,5895655,0,7466028,0
201,1785929340782,-57488,0,5895431,0,7465888,0
202,1785929340793,-56809,0,5895469,0,7465818,0
203,1785929340802,-55831,0,5895461,0,7465725,0
204,1785929340813,-54741,0,5895546,0,7465941,0
205,1785929340823,-53392,0,5895466,0,7466160,0
206,1785929340833,-52269,0,5895565,0,7466541,0
207,1785929340843,-51092,0,5895677,0,7466731,0
208,1785929340853,-50097,0,5895467,0,7466579,0
209,1785929340863,-48825,0,5895717,0,7466519,0
210,1785929340873,-47484,0,5895632,0,7466571,0
211,1785929340883,-46170,0,5895621,0,7466754,0
212,1785929340894,-45014,0,5895569,0,7466670,0
213,1785929340903,-43649,0,5895640,0,7466774,0
214,1785929340916,-42616,0,5895465,0,7466606,0
215,1785929340923,-41448,0,5895473,0,7466661,0
216,1785929340933,-40466,0,5895366,0,7466809,0
217,1785929340943,-39199,0,5895362,0,7466775,0
218,1785929340954,-38188,0,5895190,0,7466735,0
219,1785929340963,-37033,0,5895094,0,7466772,0
220,1785929340973,-35726,0,5895055,0,7466634,0
221,1785929340983,-34610,0,5895194,0,7466772,0
222,1785929340993,-33454,0,5894908,0,7467306,0
223,1785929341003,-32530,0,5894872,0,7467342,0
224,1785929341013,-31549,0,5894752,0,7466991,0
225,1785929341023,-30415,0,5894783,0,7466928,0
